username,name,gender,age,location,bio,picture,condition,class
m_clark,m_clark,Female,21,,,bear.png,,
idkArchive,idkArchive,Male,18,Sunny Los Anageles,,cat.png,,
j_fitz,j_fitz,Female,19,"Baltimore, MD",,chicken.png,,
lowkeypresence,lowkeypresence,Female,24,"North Hempstead, NY",,cow.png,,
orbitless_apple,orbitless_apple,Male,22,"Arlington, VA",,deer.png,,
randomlittlething,randomlittlething,Male,22,"Honolulu, HI",,bear1.png,,
BerryMilk,BerryMilk,Male,21,"Scottland -> Brooklyn, NY",,dog.png,,
UserNotFound,UserNotFound,Female,20,"Jefferson City, MO",,giraffe.png,,
mz_568,mz_568,Male,17,Home @TX,,lion.png,,
lemon_macaron_vibe,lemon_macaron_vibe,Male,17,Chicago,,meerkat.png,,
analog_feelings,analog_feelings,Female,17,"Atlanta, GA",,owl.png,,
PixelPancake,PixelPancake,Female,23,"Salt Lake City, UT",,panda.png,,
BlueComet,BlueComet,Female,21,,,polar-bear.png,,
GreatGigIntheSkate,GreatGigIntheSkate,Female,18,"White Plains, NY",,puffer-fish.png,,
royalPiano,royalPiano,Male,24,"Cleveland, OH",,rabbit.png,,
justAChillCreature,justAChillCreature,Male,18,Texas,,sea-lion.png,,
fadingink,fadingink,Male,17,"Pinehurst, NC",,sloth.png,,
viiiiibing,viiiiibing,Female,19,"Boston, MA",,weasel.png,,
Snoo5734,Snoo5734,Female,19,,,bear.png,,
Jar_of_sneakers,Jar_of_sneakers,Female,21,"Ann Arbor, MI",,cat.png,,
lowsignal,lowsignal,Male,18,"Ithaca, NY",,chicken.png,,
gentlylost,gentlylost,Female,18,"Fort Smith, AR",,cow.png,,
inbetweenthings,inbetweenthings,Female,23,"Jersey City, NJ",,deer.png,,
just_another_id_7856,just_another_id_7856,Female,21,Online 24/7,,bear1.png,,
bladeskater,bladeskater,Female,22,"Lincoln, NE",,dog.png,,
MangoCircuit,MangoCircuit,Female,19,austin texas,,panda.png,,
goodOldStuff,goodOldStuff,,,,,lion.png,,
floatingmedium,floatingmedium,,,,,meerkat.png,,
ghostprotocol,ghostprotocol,Female,25,Nashville,,puffer-fish.png,,
ChaoticallyCalm,ChaoticallyCalm,,,,,panda.png,,
aleeboi,aleeboi,,,,,polar-bear.png,,
EZpz,EZpz,,,,,puffer-fish.png,,
jen73,jen73,,,,,rabbit.png,,
livelaughlove,livelaughlove,,,,,sea-lion.png,,
tacoguy,tacoguy,,,,,sloth.png,,
j_turk,j_turk,,,,,weasel.png,,
jr_1,jr_1,,,,,bear.png,,
mariaann,mariaann,,,,,cat.png,,
BJenkins,BJenkins,,,,,chicken.png,,
PatelS,PatelS,,,,,cow.png,,
tyler,tyler,,,,,deer.png,,
sweetpea,sweetpea,,,,,bear1.png,,
Jcole9,Jcole9,,,,,dog.png,,
MedicalRyan,MedicalRyan,,,,,giraffe.png,,
ancho-n-cayenne,ancho-n-cayenne,,,,,lion.png,,
NoahM1121,NoahM1121,,,,,meerkat.png,,
casssssssssie,casssssssssie,,,,,owl.png,,
alex_y,alex_y,,,,,panda.png,,
_kira_,_kira_,,,,,polar-bear.png,,
M.Kapadia92,M.Kapadia92,,,,,puffer-fish.png,,
localewis,localewis,,,,,rabbit.png,,
kj_192,kj_192,,,,,sea-lion.png,,
tastyrobot,tastyrobot,,,,,sloth.png,,
artisanalways,artisanalways,,,,,weasel.png,,
kittycatbakes,kittycatbakes,,,,,bear.png,,
bblueberryy,bblueberryy,,,,,cat.png,,
breathe_in,breathe_in,,,,,chicken.png,,
mateoV,mateoV,,,,,cow.png,,
SnakeCharmer,SnakeCharmer,,,,,deer.png,,
r_camiii,r_camiii,,,,,bear1.png,,
breethebaker,breethebaker,,,,,dog.png,,
fusionfeast,fusionfeast,,,,,giraffe.png,,
MannyDL34,MannyDL34,,,,,lion.png,,
earthpulse,earthpulse,,,,,meerkat.png,,
lavenderrrrrr,lavenderrrrrr,,,,,owl.png,,
cavsforever,cavsforever,,,,,panda.png,,
caffeinated,caffeinated,,,,,polar-bear.png,,
wiz_khaleesi,wiz_khaleesi,,,,,puffer-fish.png,,
jupiterpride,jupiterpride,,,,,rabbit.png,,
Hyemin,Hyemin,,,,,rabbit.png,,
Song,Song,,,,,panda.png,,
Amy,Amy,,,,,meerkat.png,,
Evan,Evan,,,,,lion.png,,
