userPostID,userReplyID,type,actor,time,condition,class
0,,read,aleeboi,0:01,,
0,,read,EZpz,0:02,,
0,,read,jen73,0:03,,
0,,read,livelaughlove,0:04,,
0,,like,mariaann,0:05,,
,1,like,_kira_,0:25,,
,2,like,fusionfeast,0:29,,
,2,like,MannyDL34,0:30,,
,3,like,j_turk,0:33,,
,3,like,jr_1,0:34,,
,3,like,mariaann,0:35,,
1,,read,jen73,0:10,,
1,,read,livelaughlove,0:11,,
1,,read,tacoguy,0:12,,
1,,read,j_turk,0:13,,
1,,read,jr_1,0:14,,
1,,like,tyler,0:15,,
1,,like,sweetpea,0:16,,
1,,like,Jcole9,0:17,,
1,,like,MedicalRyan,0:18,,
,4,like,casssssssssie,0:30,,
,5,like,r_camiii,0:34,,
,5,like,breethebaker,0:35,,
,6,like,livelaughlove,0:38,,
,6,like,tacoguy,0:39,,
,6,like,j_turk,0:40,,
2,,read,tacoguy,0:19,,
2,,read,j_turk,0:20,,
2,,read,jr_1,0:21,,
2,,read,mariaann,0:22,,
2,,read,BJenkins,0:23,,
2,,read,PatelS,0:24,,
2,,like,MedicalRyan,0:25,,
2,,like,ancho-n-cayenne,0:26,,
2,,like,NoahM1121,0:27,,
2,,like,casssssssssie,0:28,,
,7,like,mateoV,0:39,,
,7,like,SnakeCharmer,0:40,,
,8,like,EZpz,0:43,,
,8,like,jen73,0:44,,
,8,like,livelaughlove,0:45,,
3,,read,jr_1,0:28,,
3,,read,mariaann,0:29,,
3,,read,BJenkins,0:30,,
3,,read,PatelS,0:31,,
3,,like,casssssssssie,0:32,,
3,,like,alex_y,0:33,,
3,,like,_kira_,0:34,,
,10,like,jupiterpride,0:48,,
,10,like,aleeboi,0:49,,
,10,like,EZpz,0:50,,
4,,read,BJenkins,0:37,,
4,,read,PatelS,0:38,,
4,,read,tyler,0:39,,
4,,read,sweetpea,0:40,,
4,,read,Jcole9,0:41,,
4,,like,M.Kapadia92,0:42,,
4,,like,localewis,0:43,,
4,,like,kj_192,0:44,,
4,,like,tastyrobot,0:45,,
,13,like,artisanalways,1:01,,
,14,like,caffeinated,1:05,,
,14,like,wiz_khaleesi,1:06,,
5,,read,tyler,0:46,,
5,,read,sweetpea,0:47,,
5,,read,Jcole9,0:48,,
5,,read,MedicalRyan,0:49,,
5,,read,ancho-n-cayenne,0:50,,
5,,read,NoahM1121,0:51,,
5,,like,tastyrobot,0:52,,
5,,like,artisanalways,0:53,,
5,,like,kittycatbakes,0:54,,
5,,like,bblueberryy,0:55,,
,15,like,kj_192,1:06,,
,16,like,lavenderrrrrr,1:10,,
,16,like,cavsforever,1:11,,
,17,like,BJenkins,1:14,,
,17,like,PatelS,1:15,,
,17,like,tyler,1:16,,
6,,read,Jcole9,0:55,,
6,,read,MedicalRyan,0:56,,
6,,read,ancho-n-cayenne,0:57,,
6,,read,NoahM1121,0:58,,
6,,like,bblueberryy,0:59,,
6,,like,breathe_in,1:00,,
6,,like,mateoV,1:01,,
,18,like,MannyDL34,1:15,,
,18,like,earthpulse,1:16,,
,19,like,jr_1,1:19,,
,19,like,mariaann,1:20,,
,19,like,BJenkins,1:21,,
7,,read,ancho-n-cayenne,1:04,,
7,,read,NoahM1121,1:05,,
7,,read,casssssssssie,1:06,,
7,,read,alex_y,1:07,,
7,,read,_kira_,1:08,,
7,,like,SnakeCharmer,1:09,,
7,,like,r_camiii,1:10,,
7,,like,breethebaker,1:11,,
7,,like,fusionfeast,1:12,,
,20,like,tacoguy,1:24,,
,20,like,j_turk,1:25,,
,20,like,jr_1,1:26,,
,22,like,breethebaker,1:32,,
8,,read,casssssssssie,1:13,,
8,,read,alex_y,1:14,,
8,,read,_kira_,1:15,,
8,,read,M.Kapadia92,1:16,,
8,,read,localewis,1:17,,
8,,read,kj_192,1:18,,
8,,like,fusionfeast,1:19,,
8,,like,MannyDL34,1:20,,
8,,like,earthpulse,1:21,,
,24,like,SnakeCharmer,1:37,,
9,,read,_kira_,1:22,,
9,,read,M.Kapadia92,1:23,,
9,,read,localewis,1:24,,
9,,read,kj_192,1:25,,
9,,like,lavenderrrrrr,1:26,,
,25,like,breathe_in,1:42,,
,26,like,aleeboi,1:46,,
,26,like,EZpz,1:47,,
,27,like,MedicalRyan,1:50,,
,27,like,ancho-n-cayenne,1:51,,
,27,like,NoahM1121,1:52,,
10,,read,localewis,1:31,,
10,,read,kj_192,1:32,,
10,,read,tastyrobot,1:33,,
10,,read,artisanalways,1:34,,
10,,read,kittycatbakes,1:35,,
10,,like,wiz_khaleesi,1:36,,
10,,like,jupiterpride,1:37,,
10,,like,aleeboi,1:38,,
,29,like,wiz_khaleesi,1:51,,
,29,like,jupiterpride,1:52,,
,30,like,sweetpea,1:55,,
,30,like,Jcole9,1:56,,
,30,like,MedicalRyan,1:57,,
11,,read,tastyrobot,1:40,,
11,,read,artisanalways,1:41,,
11,,read,kittycatbakes,1:42,,
11,,read,bblueberryy,1:43,,
11,,read,breathe_in,1:44,,
11,,read,mateoV,1:45,,
11,,like,EZpz,1:46,,
11,,like,jen73,1:47,,
11,,like,livelaughlove,1:48,,
11,,like,tacoguy,1:49,,
,31,like,PatelS,2:00,,
