id,userPostID,body,actor,time,condition,class
0,0,The green is a win 💚,aleeboi,0:05,,
1,0,Maybe tuck the sweater?,mariaann,0:08,,
2,0,Wait I love this look,ancho-n-cayenne,0:11,,
3,0,Where are the jeans from??,kj_192,0:14,,
4,1,Slow down the drying process! 🏺,j_turk,0:14,,
5,1,Still looks cool tho,Jcole9,0:17,,
6,1,Pottery is so hard fr,M.Kapadia92,0:20,,
7,2,You're delusional. This is middle school level at best. 💀 Don't waste the admissions officer's time.,tyler,0:23,,
8,2,Actually embarrassing that u thought this was good,alex_y,0:26,,
9,2,"Don't listen to them, just keep practicing! ✨",kittycatbakes,0:29,,
10,3,It actually frames your face well!,NoahM1121,0:32,,
11,3,"Grow it out, long hair was better 💇‍♂️",tastyrobot,0:35,,
12,4,Maximum cozy vibes ☁️,localewis,0:41,,
13,4,I need those posters!,mateoV,0:44,,
14,4,A bit cluttered but in a cute way,lavenderrrrrr,0:47,,
15,5,That's a steal 💸,bblueberryy,0:50,,
16,5,The pattern is everything,MannyDL34,0:53,,
17,5,W find,aleeboi,0:56,,
18,6,Better than my first try! ☕️,breethebaker,0:59,,
19,6,It's a 'rustic' heart haha,wiz_khaleesi,1:02,,
20,7,He is a beautiful goblin 🐈‍⬛,cavsforever,1:08,,
21,7,I would die for him,livelaughlove,1:11,,
22,7,Protect him at all costs 🥺,tyler,1:14,,
23,8,Try a different font maybe?,EZpz,1:17,,
24,8,Add some texture to the background 🎨,BJenkins,1:20,,
25,9,Totally Pinterest win ✨,jr_1,1:26,,
26,9,The lighting is 10/10,MedicalRyan,1:29,,
27,9,Obsessed with the vibe,localewis,1:32,,
28,9,Where is the blanket from??,mateoV,1:35,,
29,10,Specs look okay!,sweetpea,1:35,,
30,10,Cable management is a bit messy 😬,_kira_,1:38,,
31,11,Perfect medium rare 🥩,casssssssssie,1:44,,
32,11,Let it rest longer next time!,artisanalways,1:47,,
33,11,Looks fire,breethebaker,1:50,,
34,12,Overkill but I love it 🔥,kj_192,1:53,,
35,12,Clean setup,SnakeCharmer,1:56,,
36,12,The LED placement is 💯,cavsforever,1:59,,
37,14,It’s not the hair. Your face just looks like that. You should probably just stop posting selfies altogether. 🤡,fusionfeast,2:11,,
38,14,LMAO roasted,jupiterpride,2:14,,
39,14,"Don't be a jerk, they look fine.",jr_1,2:17,,
40,15,Huge fire hazard 🚩,caffeinated,2:20,,
41,15,Please buy a new lamp lol,tacoguy,2:23,,
42,15,"I’ve seen worse but yeah, sketchy",sweetpea,2:26,,
43,16,LMAO mood 😂,jen73,2:29,,
44,16,"This is mean, they're just vibing",PatelS,2:32,,
45,16,The caption has me weak 💀,casssssssssie,2:35,,
46,17,We need to gatekeep this app before the 'basic' people from other platforms find it. 🚫,mariaann,2:38,,
47,17,"Agreed, keep the feed for the real ones.",ancho-n-cayenne,2:41,,
48,17,"Stay mad, let people post.",kj_192,2:44,,
49,18,Keep your hips lower!,Jcole9,2:47,,
50,18,"Watch some form videos, it helps 🏋️‍♂️",M.Kapadia92,2:50,,
51,18,"Don't ego lift, drop the weight",breathe_in,2:53,,
52,19,Big W 👟,alex_y,2:56,,
53,19,The colorway is sick,kittycatbakes,2:59,,
54,19,Definitely worth the hype,fusionfeast,3:02,,
55,20,Cancel culture is real ☕️,tastyrobot,3:05,,
56,20,Why are you digging for dirt on strangers? Get a life.,r_camiii,3:08,,
57,20,Yikes...,caffeinated,3:11,,
58,21,The skin is skinning! ✨,mateoV,3:14,,
59,21,Drop the skincare routine,lavenderrrrrr,3:17,,
60,21,Natural looks so good on you,jen73,3:20,,
61,22,I like the metaphor in the second line 📝,MannyDL34,3:23,,
62,23,That's a 15/10 🤢,wiz_khaleesi,3:32,,
63,23,Communal living is a nightmare,j_turk,3:35,,
64,23,I would actually move out,Jcole9,3:38,,
65,24,It adds a nice pop of color 🌈,livelaughlove,3:41,,
66,24,Maybe get a neutral one?,tyler,3:44,,
67,25,Macarons are the boss fight of baking 🧁,BJenkins,3:50,,
68,25,Keep trying!,NoahM1121,3:53,,
69,25,Still look tasty,tastyrobot,3:56,,
70,26,Has a cool vintage feel 🚲,MedicalRyan,3:59,,
71,26,Maybe a new seat?,localewis,4:02,,
72,27,The contrast is great 📸,_kira_,4:08,,
73,27,"Slightly crooked, but moody",bblueberryy,4:11,,
74,27,Nice shot!,MannyDL34,4:14,,
75,28,"Advice: If you're this sensitive, maybe the internet isn't for you. You're just looking for attention. 🙄",artisanalways,4:17,,
76,28,Ignore them. Just wear what makes you happy! ✨,breethebaker,4:20,,
77,28,"I feel this, keep your head up",wiz_khaleesi,4:23,,
78,28,The trolls are out today ignore him,j_turk,4:26,,
79,29,Cereal hits different at 3am 🥣,SnakeCharmer,4:26,,
80,29,Good luck with the studying!,cavsforever,4:29,,
